Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2025-05-19 00:00:00-03:00,39.619998931884766,40.290000915527344,39.56999969482422,40.0,824100,0.0,0.0,CPFE3.SA
2025-05-20 00:00:00-03:00,40.0,41.0,39.959999084472656,40.880001068115234,1074000,0.0,0.0,CPFE3.SA
2025-05-21 00:00:00-03:00,40.66999816894531,40.91999816894531,39.900001525878906,40.06999969482422,1279100,0.0,0.0,CPFE3.SA
2025-05-22 00:00:00-03:00,40.08000183105469,40.5099983215332,39.81999969482422,40.09000015258789,1013300,0.0,0.0,CPFE3.SA
2025-05-23 00:00:00-03:00,39.9900016784668,40.70000076293945,39.529998779296875,40.59000015258789,833900,0.0,0.0,CPFE3.SA
2025-05-26 00:00:00-03:00,40.630001068115234,40.810001373291016,40.47999954223633,40.72999954223633,488400,0.0,0.0,CPFE3.SA
2025-05-27 00:00:00-03:00,40.97999954223633,41.47999954223633,40.689998626708984,41.22999954223633,869000,0.0,0.0,CPFE3.SA
2025-05-28 00:00:00-03:00,41.22999954223633,41.27000045776367,40.79999923706055,40.95000076293945,655300,0.0,0.0,CPFE3.SA
2025-05-29 00:00:00-03:00,40.79999923706055,41.209999084472656,40.650001525878906,41.209999084472656,851300,0.0,0.0,CPFE3.SA
2025-05-30 00:00:00-03:00,41.13999938964844,41.13999938964844,40.380001068115234,40.4900016784668,4340900,0.0,0.0,CPFE3.SA
2025-06-02 00:00:00-03:00,40.56999969482422,41.2400016784668,40.540000915527344,40.83000183105469,1880700,0.0,0.0,CPFE3.SA
2025-06-03 00:00:00-03:00,40.709999084472656,41.349998474121094,40.709999084472656,41.130001068115234,1164500,0.0,0.0,CPFE3.SA
2025-06-04 00:00:00-03:00,41.20000076293945,41.47999954223633,40.61000061035156,40.86000061035156,688300,0.0,0.0,CPFE3.SA
2025-06-05 00:00:00-03:00,41.08000183105469,41.08000183105469,40.06999969482422,40.5099983215332,938100,0.0,0.0,CPFE3.SA
2025-06-06 00:00:00-03:00,40.5099983215332,40.83000183105469,40.36000061035156,40.52000045776367,670000,0.0,0.0,CPFE3.SA
2025-06-09 00:00:00-03:00,40.5099983215332,40.66999816894531,39.75,40.31999969482422,851100,0.0,0.0,CPFE3.SA
